,X,Y,value
2410,28.0,11.0,10.456861824751698
2411,28.0,12.0,10.44623730193676
2412,28.0,13.0,10.46419505202988
2413,28.0,14.0,10.503375698254919
2414,28.0,15.0,10.503238241854513
2415,28.0,16.0,10.44782740973653
2416,28.0,17.0,10.468158521780108
2417,28.0,18.0,10.45696505919132
2418,28.0,19.0,10.468234978651118
2419,28.0,20.0,10.503272060429948
2420,28.0,21.0,10.503276553149801
2421,28.0,22.0,9.5
2422,28.0,23.0,9.5
2423,28.0,24.0,9.5
2424,28.0,25.0,9.5
2425,28.0,26.0,9.5
2426,28.0,27.0,9.5
2427,28.0,28.0,9.5
2428,28.0,29.0,9.5
2429,28.0,30.0,9.5
2430,28.0,31.0,9.5
2431,28.0,32.0,9.5
2432,28.0,33.0,9.5
2433,28.0,34.0,9.5
2434,28.0,35.0,9.5
2435,28.0,36.0,9.5
2436,28.0,37.0,9.5
2437,28.0,38.0,9.5
2438,28.0,39.0,9.5
2439,28.0,40.0,9.5
2440,28.0,41.0,9.5
2441,28.0,42.0,9.5
2442,28.0,43.0,9.5
2443,28.0,44.0,9.5
2444,28.0,45.0,9.5
2445,28.0,46.0,9.5
2446,28.0,47.0,9.5
2447,28.0,48.0,9.5
2448,28.0,49.0,9.5
2449,28.0,50.0,9.5
2450,28.0,51.0,9.5
2451,28.0,52.0,9.5
2452,28.0,53.0,9.5
2453,28.0,54.0,9.5
2454,28.0,55.0,9.5
2455,28.0,56.0,9.5
2456,28.0,57.0,9.5
2457,28.0,58.0,9.5
2458,28.0,59.0,9.5
2459,28.0,60.0,9.5
2460,28.0,61.0,9.5
2461,28.0,62.0,9.5
2462,28.0,63.0,9.5
2463,28.0,64.0,9.5
2464,28.0,65.0,9.5
2465,28.0,66.0,9.5
2466,28.0,67.0,9.5
2467,28.0,68.0,9.5
2468,28.0,69.0,9.5
2469,28.0,70.0,9.5
2470,28.0,71.0,9.5
2471,28.0,72.0,9.5
2472,28.0,73.0,9.5
2473,28.0,74.0,9.5
2474,28.0,75.0,9.5
2475,28.0,76.0,9.5
2476,28.0,77.0,9.5
2477,28.0,78.0,9.5
2478,28.0,79.0,9.5
2479,28.0,80.0,9.5
2480,28.0,81.0,9.5
2481,28.0,82.0,9.5
2482,28.0,83.0,9.5
2483,28.0,84.0,9.5
2484,28.0,85.0,9.5
2485,28.0,86.0,9.5
2486,28.0,87.0,9.5
2487,28.0,88.0,9.5
2488,28.0,89.0,9.5
2489,28.0,90.0,9.5
2490,28.0,91.0,9.5
2491,28.0,92.0,9.5
2492,28.0,93.0,9.5
2493,28.0,94.0,9.5
2494,28.0,95.0,9.5
2495,28.0,96.0,9.5
2496,28.0,97.0,9.5
2497,28.0,98.0,9.5
2498,28.0,99.0,9.5
2499,28.0,100.0,9.5
2500,29.0,1.0,9.5
2501,29.0,2.0,10.503249057388055
2502,29.0,3.0,10.47727064053536
2503,29.0,4.0,10.50324575008902
2504,29.0,5.0,10.503237722016804
2505,29.0,6.0,10.503231312701436
2506,29.0,7.0,10.503230236323834
2507,29.0,8.0,10.50323273156105
2508,29.0,9.0,10.503233847849367
2509,29.0,10.0,10.503245920568618
2510,29.0,11.0,10.503321152510322
2511,29.0,12.0,10.503231850889803
2512,29.0,13.0,10.503257683590775
2513,29.0,14.0,10.503230236323834
2514,29.0,15.0,10.470476094800963
2515,29.0,16.0,10.471555909503756
2516,29.0,17.0,10.503346607561387
2517,29.0,18.0,10.423328187930869
2518,29.0,19.0,10.503230236323834
2519,29.0,20.0,10.47156033620402
2520,29.0,21.0,10.503331948889056
2521,29.0,22.0,9.5
2522,29.0,23.0,9.5
2523,29.0,24.0,9.5
2524,29.0,25.0,9.5
2525,29.0,26.0,9.5
2526,29.0,27.0,9.5
2527,29.0,28.0,9.5
2528,29.0,29.0,9.5
2529,29.0,30.0,9.5
2530,29.0,31.0,9.5
2531,29.0,32.0,9.5
2532,29.0,33.0,9.5
2533,29.0,34.0,9.5
2534,29.0,35.0,9.5
2535,29.0,36.0,9.5
2536,29.0,37.0,9.5
2537,29.0,38.0,9.5
2538,29.0,39.0,9.5
2539,29.0,40.0,9.5
2540,29.0,41.0,9.5
2541,29.0,42.0,9.5
2542,29.0,43.0,9.5
2543,29.0,44.0,9.5
2544,29.0,45.0,9.5
2545,29.0,46.0,9.5
2546,29.0,47.0,9.5
2547,29.0,48.0,9.5
2548,29.0,49.0,9.5
2549,29.0,50.0,9.5
2550,29.0,51.0,9.5
2551,29.0,52.0,9.5
2552,29.0,53.0,9.5
2553,29.0,54.0,9.5
2554,29.0,55.0,9.5
2555,29.0,56.0,9.5
2556,29.0,57.0,9.5
2557,29.0,58.0,9.5
2558,29.0,59.0,9.5
2559,29.0,60.0,9.5
2560,29.0,61.0,9.5
2561,29.0,62.0,9.5
2562,29.0,63.0,9.5
2563,29.0,64.0,9.5
2564,29.0,65.0,9.5
2565,29.0,66.0,9.5
2566,29.0,67.0,9.5
2567,29.0,68.0,9.5
2568,29.0,69.0,9.5
2569,29.0,70.0,9.5
2570,29.0,71.0,9.5
2571,29.0,72.0,9.5
2572,29.0,73.0,9.5
2573,29.0,74.0,9.5
2574,29.0,75.0,9.5
2575,29.0,76.0,9.5
2576,29.0,77.0,9.5
2577,29.0,78.0,9.5
2578,29.0,79.0,9.5
2579,29.0,80.0,9.5
2580,29.0,81.0,9.5
2581,29.0,82.0,9.5
2582,29.0,83.0,9.5
2583,29.0,84.0,9.5
2584,29.0,85.0,9.5
2585,29.0,86.0,9.5
2586,29.0,87.0,9.5
2587,29.0,88.0,9.5
2588,29.0,89.0,9.5
2589,29.0,90.0,9.5
2590,29.0,91.0,9.5
2591,29.0,92.0,9.5
2592,29.0,93.0,9.5
2593,29.0,94.0,9.5
2594,29.0,95.0,9.5
2595,29.0,96.0,9.5
2596,29.0,97.0,9.5
2597,29.0,98.0,9.5
2598,29.0,99.0,9.5
2599,29.0,100.0,9.5
2600,30.0,1.0,10.503257683590775
2601,30.0,2.0,10.474270146717522
2602,30.0,3.0,10.479158793138122
2603,30.0,4.0,10.503248311437984
2604,30.0,5.0,10.503234413130444
2605,30.0,6.0,10.503238396400805
2606,30.0,7.0,10.5032369127554
2607,30.0,8.0,10.503248077133039
2608,30.0,9.0,10.503293575033942
2609,30.0,10.0,10.503333617104158
2610,30.0,11.0,10.503231182793856
2611,30.0,12.0,10.50326418414892
2612,30.0,13.0,10.503230236323834
2613,30.0,14.0,10.503230236323834
2614,30.0,15.0,10.503230236323834
2615,30.0,16.0,10.503230236323834
2616,30.0,17.0,10.503230236323834
2617,30.0,18.0,10.503230236323834
2618,30.0,19.0,10.503230236323834
2619,30.0,20.0,10.503230236323834
2620,30.0,21.0,10.503265815969637
2621,30.0,22.0,10.503283414719352
2622,30.0,23.0,10.464074297511592
2623,30.0,24.0,9.5
2624,30.0,25.0,9.5
2625,30.0,26.0,10.147008075982862
2626,30.0,27.0,9.5
2627,30.0,28.0,9.5
2628,30.0,29.0,9.5
2629,30.0,30.0,9.5
2630,30.0,31.0,9.5
2631,30.0,32.0,9.5
2632,30.0,33.0,9.5
2633,30.0,34.0,9.5
2634,30.0,35.0,9.5
2635,30.0,36.0,9.5
2636,30.0,37.0,9.5
2637,30.0,38.0,9.5
2638,30.0,39.0,9.5
2639,30.0,40.0,9.5
2640,30.0,41.0,9.5
2641,30.0,42.0,9.5
2642,30.0,43.0,9.5
2643,30.0,44.0,9.5
2644,30.0,45.0,9.5
2645,30.0,46.0,9.5
2646,30.0,47.0,9.5
2647,30.0,48.0,9.5
2648,30.0,49.0,9.5
2649,30.0,50.0,9.5
2650,30.0,51.0,9.5
2651,30.0,52.0,9.5
2652,30.0,53.0,9.5
2653,30.0,54.0,9.5
2654,30.0,55.0,9.5
2655,30.0,56.0,9.5
2656,30.0,57.0,9.5
2657,30.0,58.0,9.5
2658,30.0,59.0,9.5
2659,30.0,60.0,9.5
2660,30.0,61.0,9.5
2661,30.0,62.0,9.5
2662,30.0,63.0,9.5
2663,30.0,64.0,9.5
2664,30.0,65.0,9.5
2665,30.0,66.0,9.5
2666,30.0,67.0,9.5
2667,30.0,68.0,9.5
2668,30.0,69.0,9.5
2669,30.0,70.0,9.5
2670,30.0,71.0,9.5
2671,30.0,72.0,9.5
2672,30.0,73.0,9.5
2673,30.0,74.0,9.5
2674,30.0,75.0,9.5
2675,30.0,76.0,9.5
2676,30.0,77.0,9.5
2677,30.0,78.0,9.5
2678,30.0,79.0,9.5
2679,30.0,80.0,9.5
2680,30.0,81.0,9.5
2681,30.0,82.0,9.5
2682,30.0,83.0,9.5
2683,30.0,84.0,9.5
2684,30.0,85.0,9.5
2685,30.0,86.0,9.5
2686,30.0,87.0,9.5
2687,30.0,88.0,9.5
2688,30.0,89.0,9.5
2689,30.0,90.0,9.5
2690,30.0,91.0,9.5
2691,30.0,92.0,9.5
2692,30.0,93.0,9.5
2693,30.0,94.0,9.5
2694,30.0,95.0,9.5
2695,30.0,96.0,9.5
2696,30.0,97.0,9.5
2697,30.0,98.0,9.5
2698,30.0,99.0,9.5
2699,30.0,100.0,9.5
2700,31.0,1.0,10.503257683590775
2701,31.0,2.0,10.503256406990412
2702,31.0,3.0,10.503250821844667
2703,31.0,4.0,10.47509778531992
2704,31.0,5.0,10.481258648949904
2705,31.0,6.0,10.503233427905208
2706,31.0,7.0,10.503240605379887
2707,31.0,8.0,10.503234324262401
2708,31.0,9.0,10.50323745936186
2709,31.0,10.0,10.503253524962389
2710,31.0,11.0,10.479703006484923
2711,31.0,12.0,10.50323115124487
2712,31.0,13.0,10.503230236323834
2713,31.0,14.0,10.50323624047785
2714,31.0,15.0,10.503242435202148
2715,31.0,16.0,10.503259513381785
2716,31.0,17.0,10.50327075345311
2717,31.0,18.0,10.50324263195703
2718,31.0,19.0,9.5
2719,31.0,20.0,10.503230236323834
2720,31.0,21.0,10.449376473942188
2721,31.0,22.0,10.503230236323834
2722,31.0,23.0,10.50327075345311
2723,31.0,24.0,10.442609045456965
2724,31.0,25.0,10.503230236323834
2725,31.0,26.0,10.503230236323834
2726,31.0,27.0,10.503266832512345
2727,31.0,28.0,9.5
2728,31.0,29.0,10.503230236323834
2729,31.0,30.0,9.5
2730,31.0,31.0,9.5
2731,31.0,32.0,9.5
2732,31.0,33.0,9.5
2733,31.0,34.0,9.5
2734,31.0,35.0,9.5
2735,31.0,36.0,9.5
2736,31.0,37.0,9.5
2737,31.0,38.0,9.5
2738,31.0,39.0,9.5
2739,31.0,40.0,9.5
2740,31.0,41.0,9.5
2741,31.0,42.0,9.5
2742,31.0,43.0,9.5
2743,31.0,44.0,9.5
2744,31.0,45.0,9.5
2745,31.0,46.0,9.5
2746,31.0,47.0,9.5
2747,31.0,48.0,9.5
2748,31.0,49.0,9.5
2749,31.0,50.0,9.5
2750,31.0,51.0,9.5
2751,31.0,52.0,9.5
2752,31.0,53.0,9.5
2753,31.0,54.0,9.5
2754,31.0,55.0,9.5
2755,31.0,56.0,9.5
2756,31.0,57.0,9.5
2757,31.0,58.0,9.5
2758,31.0,59.0,9.5
2759,31.0,60.0,9.5
2760,31.0,61.0,9.5
2761,31.0,62.0,9.5
2762,31.0,63.0,9.5
2763,31.0,64.0,9.5
2764,31.0,65.0,9.5
2765,31.0,66.0,9.5
2766,31.0,67.0,9.5
2767,31.0,68.0,9.5
2768,31.0,69.0,9.5
2769,31.0,70.0,9.5
2770,31.0,71.0,9.5
2771,31.0,72.0,9.5
2772,31.0,73.0,9.5
2773,31.0,74.0,9.5
2774,31.0,75.0,9.5
2775,31.0,76.0,9.5
2776,31.0,77.0,9.5
2777,31.0,78.0,9.5
2778,31.0,79.0,9.5
