,X,Y,value
659,11.0,60.0,9.5
660,12.0,1.0,9.5
661,12.0,2.0,9.5
662,12.0,3.0,9.5
663,12.0,4.0,9.5
664,12.0,5.0,9.5
665,12.0,6.0,9.5
666,12.0,7.0,9.5
667,12.0,8.0,9.5
668,12.0,9.0,9.5
669,12.0,10.0,9.5
670,12.0,11.0,9.5
671,12.0,12.0,10.426636751167594
672,12.0,13.0,10.437436436306786
673,12.0,14.0,10.434798096734948
674,12.0,15.0,10.476572003872306
675,12.0,16.0,10.467737436939531
676,12.0,17.0,10.44383314283811
677,12.0,18.0,10.446153354807258
678,12.0,19.0,10.380654168154674
679,12.0,20.0,10.503260070274036
680,12.0,21.0,9.5
681,12.0,22.0,9.5
682,12.0,23.0,9.5
683,12.0,24.0,9.5
684,12.0,25.0,9.5
685,12.0,26.0,9.5
686,12.0,27.0,9.5
687,12.0,28.0,9.5
688,12.0,29.0,9.5
689,12.0,30.0,9.5
690,12.0,31.0,9.5
691,12.0,32.0,9.5
692,12.0,33.0,9.5
693,12.0,34.0,9.5
694,12.0,35.0,9.5
695,12.0,36.0,9.5
696,12.0,37.0,9.5
697,12.0,38.0,9.5
698,12.0,39.0,9.5
699,12.0,40.0,9.5
700,12.0,41.0,9.5
701,12.0,42.0,9.5
702,12.0,43.0,9.5
703,12.0,44.0,9.5
704,12.0,45.0,9.5
705,12.0,46.0,9.5
706,12.0,47.0,9.5
707,12.0,48.0,9.5
708,12.0,49.0,9.5
709,12.0,50.0,9.5
710,12.0,51.0,9.5
711,12.0,52.0,9.5
712,12.0,53.0,9.5
713,12.0,54.0,9.5
714,12.0,55.0,9.5
715,12.0,56.0,9.5
716,12.0,57.0,9.5
717,12.0,58.0,9.5
718,12.0,59.0,9.5
719,12.0,60.0,9.5
720,13.0,1.0,9.5
721,13.0,2.0,9.5
722,13.0,3.0,9.5
723,13.0,4.0,9.5
724,13.0,5.0,9.5
725,13.0,6.0,9.5
726,13.0,7.0,9.5
727,13.0,8.0,9.5
728,13.0,9.0,9.5
729,13.0,10.0,9.5
730,13.0,11.0,9.5
731,13.0,12.0,9.5
